first_name	last_name	email
Abebe	Kebede	abebe.kebede@example.com
Sara	Mekonnen	sara-mekonnen@example.com
Dawit	Tesfaye	dawit.tesfaye@example.com
Liya	Bekele	liya.bekele@example.com
Nahom	Alemu	nahom.alemu@example.com
Martha	Hailu	martha.hailu@example.com
Yonas	Tadesse	yonas.tadesse@example.com
Hana	Girma	hana.girma@example.com
Samuel	Getachew	samuel.getachew@example.com
Bethel	Assefa	bethel.assefa@example.com
Michael	Demissie	michael.demissie@example.com
Ruth	Solomon	ruth.solomon@example.com
Henok	Worku	henok.worku@example.com
Eden	Fikru	eden.fikru@example.com
Kaleb	Mengistu	kaleb.mengistu@example.com
