First Name,Last Name,Email,Pledge,Lifetime Amount,Status,Last Payment Date
Jane,Stuart,janestuart@bogusemail.com,5.00,25.00,ok,2016-12-30 18:12:13
Tom,Wright,tomwright@bogusemail.com,5.00,15.00,ok,2017-04-14 04:02:06.658439
Steve,Robinson,steverobinson@bogusemail.com,5.00,20.00,ok,2017-03-17 02:20:14
Nicole,Jacobs,nicolejacobs@bogusemail.com,5.00,20.00,ok,2017-03-12 17:07:29
Jane,Wright,janewright@bogusemail.com,5.00,25.00,ok,2017-01-14 17:40:06
Jane,Doe,janedoe@bogusemail.com,2.50,5.00,ok,2017-05-14 11:20:50.798440
Kurt,Wright,kurtwright@bogusemail.com,1.00,2.00,ok,2017-06-23 21:12:56.562157
Kurt,Robinson,kurtrobinson@bogusemail.com,2.00,4.00,ok,2017-05-03 18:54:47.887885
Jane,Jenkins,janejenkins@bogusemail.com,2.00,8.00,ok,2017-03-23 16:59:47.708634
Neil,Robinson,neilrobinson@bogusemail.com,1.50,3.00,ok,2017-05-26 19:59:51.013984
Tom,Patterson,tompatterson@bogusemail.com,1.34,4.02,ok,2017-04-27 01:55:42.313799
Sam,Jenkins,samjenkins@bogusemail.com,1.00,0.00,ok,2017-06-23 04:47.674287
Steve,Stuart,stevestuart@bogusemail.com,1.00,0.00,ok,2017-06-12 03:32:00.706554
Maggie,Patterson,maggiepatterson@bogusemail.com,1.00,2.00,ok,2017-05-26 01:23:14.097393
Maggie,Stuart,maggiestuart@bogusemail.com,1.00,2.00,ok,2017-05-19 23:11:08.623854
Jane,Doe,janedoe@bogusemail.com,1.00,3.00,ok,2017-04-15 19:40:17.044921
Steve,Patterson,stevepatterson@bogusemail.com,1.00,3.00,ok,2017-04-09 17:14:25.591656
Dave,Smith,davesmith@bogusemail.com,1.00,3.00,ok,2017-04-01 18:35:50.731006
Sam,Wilks,samwilks@bogusemail.com,1.00,4.00,ok,2017-03-21 09:40:56
Kurt,Jefferson,kurtjefferson@bogusemail.com,1.00,5.00,ok,2017-02-24 08:23:05
Sam,Stuart,samstuart@bogusemail.com,0.50,0.00,ok,2017-02-12 00:44:31
Jane,Stuart,janestuart@bogusemail.com,1.00,5.00,ok,2017-02-06 14:52:28
Dave,Davis,davedavis@bogusemail.com,1.00,0.00,ok,2016-11-18 01:37:25
Sam,Patterson,sampatterson@bogusemail.com,1.00,8.00,ok,2016-11-01 11:27:17
Tom,Jefferson,tomjefferson@bogusemail.com,1.00,10.00,ok,2016-09-27 09:56:48
Jane,Stuart,janestuart@bogusemail.com,1.00,7.00,ok,2016-08-09 14:42:25
Maggie,Jefferson,maggiejefferson@bogusemail.com,1.00,12.00,ok,2016-07-26 05:02:16
No Reward,Description: (None for No Reward),,,,,
Mary,Wilks,marywilks@bogusemail.com,20.00,60.00,ok,2017-04-21 02:44:13.395224
Neil,Patterson,neilpatterson@bogusemail.com,10.00,80.00,ok,2016-11-12 17:49:37
Corey,Davis,coreydavis@bogusemail.com,6.00,90.00,ok,2016-04-01 15:19:52
Steve,Jacobs,stevejacobs@bogusemail.com,5.00,21.00,ok,2017-01-04 19:38:44
Jane,Jenkins,janejenkins@bogusemail.com,5.00,30.00,ok,2017-01-15 14:39
John,Jacobs,johnjacobs@bogusemail.com,3.14,34.54,ok,2016-06-23 16:09:25
Neil,Smith,neilsmith@bogusemail.com,3.00,24.00,ok,2016-11-28 02:57:48
Corey,Wilks,coreywilks@bogusemail.com,2.00,8.00,ok,2017-03-26 20:13:58.207866
Mary,Patterson,marypatterson@bogusemail.com,1.00,1.00,ok,2017-07-04 13:05:12
Sarah,Brown,sarahbrown@bogusemail.com,5.00,45.00,ok,2017-06-09 10:11:02
Daniel,Green,danielgreen@bogusemail.com,2.00,10.00,ok,2017-05-18 08:40:44
Anna,Taylor,annataylor@bogusemail.com,1.00,6.00,ok,2017-04-07 12:18:21
Peter,Hall,peterhall@bogusemail.com,10.00,100.00,ok,2017-02-11 06:22:18
Lucy,Adams,lucyadams@bogusemail.com,3.00,18.00,ok,2017-01-20 20:05:39
Mark,Turner,markturner@bogusemail.com,1.50,4.50,ok,2016-12-12 09:33:47
Rachel,King,rachelking@bogusemail.com,4.00,16.00,ok,2016-10-02 22:14:09
Chris,Walker,chriswalker@bogusemail.com,2.50,12.50,ok,2016-09-11 07:59:01
